SYMBOL, SERIES, DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY, DELIV_PER
RKFORGE, EQ, 18-Sep-2019,282.75,282.25,296,273,289.8,280.8,277.17,184611,511.69,1360,171920,93.13
RMCL, BE, 18-Sep-2019,4.7,4.75,4.9,4.7,4.75,4.75,4.82,62022,2.99,124, -, -
RML, EQ, 18-Sep-2019,288.3,288,294.9,282,285,284.3,286.84,3178,9.12,292,1798,56.58
RNAM, EQ, 18-Sep-2019,228.5,228.05,236.7,211.1,235,233.5,226.87,5126997,11631.63,68886,2374868,46.32
RNAVAL, EQ, 18-Sep-2019,1.2,1.25,1.25,1.15,1.25,1.25,1.23,8745299,108,852,4529682,51.8
ROHITFERRO, BE, 18-Sep-2019,0.9,0.95,0.95,0.95,0.95,0.95,0.95,13239,0.13,17, -, -
ROHLTD, EQ, 18-Sep-2019,74.5,79.4,80.4,76.5,77.6,78.35,78.86,165173,130.26,1771,58946,35.69
ROLLT, BE, 18-Sep-2019,2.3,2.3,2.35,2.2,2.35,2.35,2.23,18423,0.41,25, -, -
ROLTA, BE, 18-Sep-2019,6,6.2,6.2,5.95,6.15,6.1,6.05,42257,2.56,116, -, -
ROSSELLIND, EQ, 18-Sep-2019,55.5,54,57,54,54.6,55.55,55.73,371,0.21,16,357,96.23
RPGLIFE, EQ, 18-Sep-2019,202.5,208.5,211.25,194.65,197,197.4,199.61,31740,63.36,1067,15606,49.17
RPOWER, EQ, 18-Sep-2019,3.2,3.25,3.35,3.1,3.15,3.1,3.17,11852689,376.29,11890,4832341,40.77
RPPINFRA, EQ, 18-Sep-2019,101.75,102.75,104.25,97.2,103,102,101.86,31561,32.15,434,13458,42.64
RPPL, SM, 18-Sep-2019,94,94,94,92,92,92,93,2000,1.86,2,2000,100
RRSLGETF, EQ, 18-Sep-2019,19.98,19.9,20,19.9,20,20,19.98,15544,3.11,17,15448,99.38
RSSOFTWARE, EQ, 18-Sep-2019,20.4,20.5,20.7,19.8,19.9,19.85,20.16,15493,3.12,196,8964,57.86
RSWM, EQ, 18-Sep-2019,122.75,122,122.35,117.6,118,118.35,119.6,15526,18.57,449,13032,83.94
RSYSTEMS, EQ, 18-Sep-2019,40.45,42.85,42.95,40.8,41.1,40.95,41.32,7916,3.27,54,7522,95.02
RTNINFRA, EQ, 18-Sep-2019,2.1,2.1,2.2,2.1,2.2,2.2,2.18,162720,3.55,62,159719,98.16
RTNPOWER, EQ, 18-Sep-2019,1.6,1.65,1.65,1.65,1.65,1.65,1.65,486483,8.03,134,486483,100
RUBYMILLS, BE, 18-Sep-2019,228.55,235,235,221,227.05,226.65,222.49,2011,4.47,102, -, -
RUCHINFRA, BE, 18-Sep-2019,2.4,2.4,2.5,2.3,2.5,2.5,2.46,12977,0.32,23, -, -
RUCHIRA, EQ, 18-Sep-2019,93.95,96.3,102,94,98.55,98.7,98.77,152230,150.36,2376,47612,31.28
RUCHISOYA, EQ, 18-Sep-2019,5.3,5.05,5.2,5.05,5.05,5.05,5.07,3447912,174.76,1305,2244169,65.09
RUPA, EQ, 18-Sep-2019,187.9,190,191.9,181.85,184.55,185.4,187.96,25856,48.6,1109,14999,58.01
RUSHIL, EQ, 18-Sep-2019,173.6,178,178,166.8,167.7,170.4,170.9,23282,39.79,204,8585,36.87
RVNL, EQ, 18-Sep-2019,23.85,24,24.3,23.9,24,23.95,24.05,1267097,304.7,5986,615555,48.58
SABTN, EQ, 18-Sep-2019,1.95,1.95,2,1.95,1.95,1.95,1.99,10851,0.22,48,10851,100
SADBHAV, EQ, 18-Sep-2019,137.05,137,138.5,133.15,137.5,136.1,135.7,307122,416.76,666,252494,82.21
SADBHIN, EQ, 18-Sep-2019,49.1,51.9,54,48.6,48.85,48.85,49.45,8696,4.3,223,4329,49.78
SAFARI, EQ, 18-Sep-2019,562,570,570,548.05,568,566.5,558.41,305,1.7,80,229,75.08
SAGARDEEP, BE, 18-Sep-2019,53,54.7,54.7,54.7,54.7,54.7,54.7,1,0,1, -, -
SAGCEM, EQ, 18-Sep-2019,546.65,550,554.95,541.55,544.9,546.35,545.16,4236,23.09,221,3983,94.03
SAIL, EQ, 18-Sep-2019,33.4,33.8,34.15,32.8,33.35,33.4,33.6,44265503,14873.08,71352,3200063,7.23
SAKAR, BE, 18-Sep-2019,51.9,52,54.45,50.95,52,52.15,52.1,32258,16.81,209, -, -
SAKHTISUG, EQ, 18-Sep-2019,8.65,8.5,8.85,8.5,8.6,8.65,8.75,27168,2.38,84,23724,87.32
SAKSOFT, EQ, 18-Sep-2019,245,248.05,262.5,245,253.9,255.5,250.89,9998,25.08,428,5651,56.52
SAKUMA, EQ, 18-Sep-2019,10.05,10.45,10.45,9.75,10.1,10.1,10.01,147371,14.75,1739,112174,76.12
SALASAR, EQ, 18-Sep-2019,122.1,122.15,125,120,121,121.4,122.22,34033,41.59,536,12824,37.68
SALONA, EQ, 18-Sep-2019,75,80.7,80.7,75.2,75.2,77.95,77.95,100,0.08,2,0,0
SALSTEEL, EQ, 18-Sep-2019,3.6,3.8,3.85,3.45,3.6,3.55,3.62,59652,2.16,118,29608,49.63
SALZERELEC, EQ, 18-Sep-2019,121.95,128.85,128.85,119,119,119.75,120.8,2787,3.37,153,2257,80.98
SAMBHAAV, EQ, 18-Sep-2019,2.9,2.95,2.95,2.75,2.85,2.8,2.8,17918,0.5,39,14022,78.26
SANCO, EQ, 18-Sep-2019,20.2,20.5,21.25,19.55,20.6,20.85,20.47,13984,2.86,131,11188,80.01
